title,company,location,link
보안사업부 통/번역사 경력사원 채용 공고,삼성SDS,서울 신천동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2b59a4aa29fc1684&vjs=3
국내 통신사 모바일 차세대 자바 개발자 채용,(주)아이이에이 관심기업,서울 상암동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9116be247450a796&vjs=3
웹디자인 및 퍼블리싱 경력자,비트스타,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e5ad3dfcab07a1ce&vjs=3
[인천] SNS 고객 상담 및 커뮤니티 대응 담당자,그루크리에이티브랩,인천 부평구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ee855a4d57eadf72&vjs=3
지스트 블록체인경제센터 계약직연구원,광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a7c68eba65a950aa&vjs=3
백엔드 개발자 (경력),크로스앵글,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=af5683389907a8c9&vjs=3
지스트 블록체인지능융합센터 연구교원(리더급 우수교원) 초빙,광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=10ab4b97e3a5df47&vjs=3
미래전략추진실 데이터 분석 플랫폼 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=341925e229fc5738&vjs=3
기획부서 경력직,씨씨엘글로벌,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=43fbe250b984c951&vjs=3
신사업 경력직 채용[IT 플랫폼],현대글로비스,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bb277e354c37a6bb&vjs=3
지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=674370fd38bce0dd&vjs=3
지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=794e209e405f4fc0&vjs=3
[TmaxCommerce/기술] Commerce 제품기획 담당자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=59f963b3832983f9&vjs=3
신사업 경력직 채용[EV배터리사업],현대글로비스,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3a2fc42f2b806e17&vjs=3
[문정동]블록체인 코어 개발자,헤세그,서울 문정동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=37d0b7b0878578b7&vjs=3
[문정동]UI/UX 디자이너,헤세그,서울 문정동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=85b55d27868ab356&vjs=3
지스트 블록체인인터넷경제연구센터 연구교원(리더급 우수교원) 초빙,광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fc9afb198331b44e&vjs=3
저희와 함께할 개발자 꼭 성공시키고 싶습니다,에어리아,서울 남대문로,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=90850de5dd8ebbdf&vjs=3
Technical Writer,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=94b3c50026f0091a&vjs=3
신사업 경력직 채용[퀵커머스],현대글로비스,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d0c00b9476988db5&vjs=3
신사업 경력직 채용[모빌리티 플랫폼],현대글로비스,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c57a510a12178ae5&vjs=3
[EY컨설팅] 컨설팅본부 유통/커머스 산업 경력 컨설턴트 및 시스템 설계자 모집,EY,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ef4a31e93592efdc&vjs=3
블록체인 센터 서비스 기획자 (무관),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e13e782732973e69&vjs=3
신사업 경력직 채용[스마트 물류솔루션],현대글로비스,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=10a737d9b0171d87&vjs=3
블록체인 사업기획,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=84a11cce79ef0fcc&vjs=3
LECLE 경력 디자이너,레클,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=290475d167b1a53b&vjs=3
[한화생명] 신사업부문 사이버보안 iOS 모바일 App 개발자 경력채용,한화그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c70cff5a4939627a&vjs=3
인증서비스 사업기획,NHN PAYCO,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b4fdcefa865d9997&vjs=3
IT 개발,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e39f98268a8e6705&vjs=3
신사업 경력직 채용[자율주행 로봇 배송],현대글로비스,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2a68eee0ea665bf5&vjs=3
인증서비스 사업기획,NHN PAYCO,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b4fdcefa865d9997&vjs=3
대외 협력,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=129967023ae36869&vjs=3
블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=77d8e0149dad533b&vjs=3
Technical Writer,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=94b3c50026f0091a&vjs=3
ICO분석 및 컨설팅,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=47afb74db72dc887&vjs=3
Wallet 서비스 Frontend 개발,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8bf4378e039e9e67&vjs=3
온라인마케팅,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a31a7da2e8e1a5c4&vjs=3
Klaytn 블록체인 플랫폼의 클라우드 서비스(KAS) - Frontend 개발자,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ad17adb988096757&vjs=3
블록체인 기술 리더 경력사원 채용,한화그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6f24044bc7bb7661&vjs=3
[한화생명] 신사업부문 사이버보안 Frontend 개발자 경력채용,한화그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a20514860b59b852&vjs=3
Klip 서비스 기획,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b9170ac4f51a738f&vjs=3
Blockchain Platform Researcher,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=76c7c583e08e5107&vjs=3
Klaytn 플랫폼 개발,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fb3cd644016eb21d&vjs=3
Klaytn 블록체인 플랫폼의 클라우드 서비스(KAS) - 백엔드 개발자,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3c1d4fe257fc44ff&vjs=3
QA,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=906b0827df0d1407&vjs=3
dapp 개발자,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9fbceecbde72d0bb&vjs=3
Klaytn 블록체인 플랫폼의 클라우드 서비스(KAS) - SDET,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fc9e7a87090e8a24&vjs=3
[한화생명] 신사업부문 사이버보안 Backend 개발자 경력채용,한화그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c9c5a59d860985bb&vjs=3
ICO 프로젝트 경력자,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c2bd000d2d140a28&vjs=3
응용프로그램 개발자,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b23b5a160dfdba65&vjs=3
지스트 블록체인인터넷경제연구센터 박사급 연구원(Post-doc) 초빙,광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a688305a75d495ce&vjs=3
[비트스타]백엔드 Node.js 개발자,비트스타,서울 잠원동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=97f78f9ac966433e&vjs=3
Klaytn 및 Klaytn API service의 SDK 개발,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a51a3711b56b001f&vjs=3
IT 개발,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e39f98268a8e6705&vjs=3
Program Manager,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5b4a639a1a01e412&vjs=3
Wallet 서비스 Backend 개발,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=70d5da21eca5ccb2&vjs=3
Klip Drops - Data Engineer,Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=af0c08665cdeefa8&vjs=3
Wallet 서비스 모바일앱(Android),Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=087f440e45643e30&vjs=3
"Blockchain Platform SDET, QA",Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4b4de0ec0e13b746&vjs=3
ICO 컨설턴트,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1a9e1ab8a9109b75&vjs=3
제휴마케팅,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f2e6dae87189682f&vjs=3
웹 및 앱 기획,휴먼디지털,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=46dcb04230b8d46d&vjs=3
Wallet 서비스 모바일앱(iOS),Success Korea,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=06ebe1e3bbda775c&vjs=3
블록체인 플랫폼 사업전략 담당자,대기업 금융사,서울 여의도역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e145114f4eb400d3&vjs=3
